date,acquisition_key,burst_count,platforms,absolute_orbit,missing_bursts,burst_scene_names_json
2023-01-17,27|SENTINEL-1A|2023-01-17,4,SENTINEL-1A,46824,,"{""027_056011_IW2"": ""S1_056011_IW2_20230117T125538_VV_848E-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230117T125541_VV_848E-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230117T125544_VV_56AE-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230117T125547_VV_56AE-BURST""}"
2023-01-29,27|SENTINEL-1A|2023-01-29,4,SENTINEL-1A,46999,,"{""027_056011_IW2"": ""S1_056011_IW2_20230129T125539_VV_B64A-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230129T125541_VV_B64A-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230129T125544_VV_D8A3-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230129T125547_VV_D8A3-BURST""}"
2023-02-10,27|SENTINEL-1A|2023-02-10,4,SENTINEL-1A,47174,,"{""027_056011_IW2"": ""S1_056011_IW2_20230210T125538_VV_DEB0-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230210T125541_VV_DEB0-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230210T125543_VV_4490-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230210T125546_VV_4490-BURST""}"
2023-02-22,27|SENTINEL-1A|2023-02-22,4,SENTINEL-1A,47349,,"{""027_056011_IW2"": ""S1_056011_IW2_20230222T125537_VV_8A86-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230222T125540_VV_8A86-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230222T125543_VV_9A87-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230222T125546_VV_9A87-BURST""}"
2023-03-06,27|SENTINEL-1A|2023-03-06,4,SENTINEL-1A,47524,,"{""027_056011_IW2"": ""S1_056011_IW2_20230306T125538_VV_71D7-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230306T125540_VV_71D7-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230306T125543_VV_DB6B-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230306T125546_VV_DB6B-BURST""}"
2023-03-18,27|SENTINEL-1A|2023-03-18,4,SENTINEL-1A,47699,,"{""027_056011_IW2"": ""S1_056011_IW2_20230318T125538_VV_B3D6-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230318T125540_VV_B3D6-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230318T125543_VV_6AE0-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230318T125546_VV_6AE0-BURST""}"
2023-03-30,27|SENTINEL-1A|2023-03-30,4,SENTINEL-1A,47874,,"{""027_056011_IW2"": ""S1_056011_IW2_20230330T125538_VV_34BA-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230330T125541_VV_34BA-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230330T125544_VV_7877-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230330T125546_VV_7877-BURST""}"
2023-04-11,27|SENTINEL-1A|2023-04-11,4,SENTINEL-1A,48049,,"{""027_056011_IW2"": ""S1_056011_IW2_20230411T125539_VV_ED06-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230411T125541_VV_ED06-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230411T125544_VV_41A0-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230411T125547_VV_41A0-BURST""}"
2023-04-23,27|SENTINEL-1A|2023-04-23,4,SENTINEL-1A,48224,,"{""027_056011_IW2"": ""S1_056011_IW2_20230423T125539_VV_33BF-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230423T125542_VV_33BF-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230423T125544_VV_176B-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230423T125547_VV_176B-BURST""}"
2023-05-05,27|SENTINEL-1A|2023-05-05,4,SENTINEL-1A,48399,,"{""027_056011_IW2"": ""S1_056011_IW2_20230505T125539_VV_EEBD-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20230505T125542_VV_EEBD-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20230505T125545_VV_14B3-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20230505T125548_VV_14B3-BURST""}"
