Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220311T125509_20220311T125539_042274_0509EE_236F.zip,S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F.zip,4,36
S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807.zip,S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07.zip,57,12
S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807.zip,S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F.zip,82,24
S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220323T125509_20220323T125539_042449_050FE4_4807.zip,S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C.zip,32,36
S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07.zip,S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F.zip,25,12
S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07.zip,S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C.zip,25,24
S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220404T125510_20220404T125539_042624_0515D9_FA07.zip,S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D.zip,33,36
S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F.zip,S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C.zip,50,12
S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F.zip,S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D.zip,8,24
S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220416T125510_20220416T125540_042799_051BBC_064F.zip,S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43.zip,28,36
S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C.zip,S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220510T125511_20220510T125541_043149_052740_CE2D.zip,58,12
S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220428T125510_20220428T125540_042974_052174_880C.zip,S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220522T125512_20220522T125542_043324_052C76_FB43.zip,78,24
