row0,col0,center_row,center_col,median_coherence,median_velocity_mm_per_yr,median_velocity_std_mm_per_yr,min_edge_distance_m,min_support
450,1750,475,1775,0.2670363634824753,-30.583822168409824,2.2693825885653496,0.0,1.0
450,1800,475,1825,0.2747724950313568,-24.387655779719353,2.308075549080968,200.0,1.0
450,1900,475,1925,0.29071755707263947,-34.82988476753235,1.995097380131483,933.8094023943002,1.0
450,1950,475,1975,0.3400803804397583,-28.291107155382633,1.6635328065603971,0.0,1.0
450,2000,475,2025,0.37276366353034973,-11.47944713011384,1.2710901210084558,680.0,1.0
450,2050,475,2075,0.538805365562439,-10.02819649875164,0.9653459419496357,1484.8568954616467,1.0
450,2100,475,2125,0.5184629857540131,-11.381132062524557,0.8706804946996272,0.0,1.0
450,2150,475,2175,0.5828760266304016,-8.420148398727179,0.6083116459194571,280.0,1.0
450,2200,475,2225,0.5238808393478394,-6.59700226970017,0.6951248506084085,1431.0835055998655,1.0
450,2250,475,2275,0.3025050163269043,7.213436532765627,1.2437570840120316,520.0,1.0
450,2300,475,2325,0.295105904340744,11.61916647106409,1.4022787217982113,632.4555320336758,1.0
450,2350,475,2375,0.3307444602251053,11.768140830099583,1.150494848843664,1720.0,1.0
450,2400,475,2425,0.33449727296829224,5.817248718813062,1.549038221128285,1624.3152403397562,1.0
450,2450,475,2475,0.2379997819662094,12.436460703611374,2.3252175888046622,1302.3056476879765,1.0
450,2500,475,2525,0.2206021025776863,37.50669211149216,2.1997997537255287,960.0,1.0
450,2550,475,2575,0.2400539219379425,36.443399265408516,2.6226333575323224,640.0,1.0
450,2600,475,2625,0.30563223361968994,41.89809784293175,3.0683475779369473,291.20439557122074,1.0
450,2650,475,2675,0.22064221650362015,48.602644354104996,3.761284751817584,0.0,1.0
500,1250,525,1275,0.2814590781927109,-44.907672330737114,4.985266365110874,0.0,1.0
500,1300,525,1325,0.23066062480211258,-46.27605155110359,4.880397813394666,494.7726750741192,1.0
500,1400,525,1425,0.2176019698381424,-27.08515804260969,4.435928072780371,0.0,1.0
500,1450,525,1475,0.24328935146331787,-39.19641487300396,3.965792478993535,80.0,1.0
500,1650,525,1675,0.23465806990861893,-34.40651297569275,3.197950078174472,1249.6399481450646,1.0
500,1700,525,1725,0.2351531982421875,-23.454129695892334,3.087934455834329,0.0,1.0
500,1750,525,1775,0.2549346834421158,-24.485289119184017,3.015849622897804,600.0,1.0
500,1800,525,1825,0.2951819747686386,-24.602625519037247,2.543890499509871,0.0,1.0
500,1900,525,1925,0.31618088483810425,-24.50655587017536,2.300673513673246,1285.6126943990557,1.0
500,1950,525,1975,0.3449871987104416,-14.755315613001585,2.3199465358629823,120.0,1.0
500,2000,525,2025,0.4151543229818344,-14.866178389638662,2.135940012522042,200.0,1.0
500,2050,525,2075,0.4963311403989792,-15.047085471451283,1.5362239792011678,2163.3307652783933,1.0
500,2100,525,2125,0.34999243915081024,-13.416591566056013,1.4938241220079362,1360.0,1.0
500,2150,525,2175,0.390357568860054,-2.2329335333779454,1.2540187453851104,1388.5243966167827,1.0
500,2200,525,2225,0.35250791907310486,-3.5998107632622123,1.141976157668978,1280.0,1.0
500,2250,525,2275,0.3385479003190994,14.435796532779932,1.1988969636149704,0.0,1.0
500,2300,525,2325,0.3035125285387039,21.881123073399067,1.4555887901224196,760.0,1.0
500,2350,525,2375,0.32149702310562134,12.25630845874548,1.449918549042195,2760.0,1.0
500,2400,525,2425,0.3513803482055664,21.208345890045166,1.4370150165632367,3592.2138021003148,1.0
500,2450,525,2475,0.28771068155765533,22.350632585585117,1.8932027742266655,3255.764119219941,1.0
500,2500,525,2525,0.2617287188768387,36.8533730506897,2.221609349362552,2933.93933134276,1.0
500,2550,525,2575,0.27442482113838196,43.54475066065788,2.309027942828834,2610.1340961720725,1.0
500,2600,525,2625,0.24555107951164246,46.60573787987232,2.561140456236899,2281.403077055872,1.0
500,2650,525,2675,0.24779770523309708,41.024548932909966,3.2336366130039096,1907.0395905696346,1.0
500,2700,525,2725,0.19809287041425705,41.280778124928474,3.997031832113862,0.0,1.0
550,700,575,725,0.3902047574520111,-40.82248732447624,5.730414064601064,0.0,1.0
550,850,575,875,0.475414901971817,-34.130385145545006,5.406941520050168,1040.0,1.0
550,1000,575,1025,0.34782643616199493,-48.412853851914406,5.520069040358067,56.568542494923804,1.0
550,1150,575,1175,0.3742635101079941,-47.34454303979874,4.849917255342007,536.6563145999496,1.0
550,1200,575,1225,0.44448813796043396,-43.372929096221924,4.6200009528547525,0.0,1.0
550,1350,575,1375,0.24816201627254486,-41.5561068803072,4.590026335790753,40.0,1.0
550,1600,575,1625,0.31254802644252777,-35.27063690125942,3.4290309995412827,80.0,1.0
550,1650,575,1675,0.25525611639022827,-36.884402856230736,3.2369026448577642,1466.96966567138,1.0
550,1700,575,1725,0.2563472390174866,-36.44121810793877,3.2774267019703984,280.0,1.0
550,1750,575,1775,0.28462137281894684,-37.94330172240734,2.7842011768370867,662.1178142898739,1.0
550,1900,575,1925,0.3320087492465973,-30.951990745961666,2.5274172658100724,1624.3152403397562,1.0
550,1950,575,1975,0.41005323827266693,-21.107876673340797,2.5391075760126114,0.0,1.0
550,2000,575,2025,0.6174167692661285,-17.752990126609802,2.147021936252713,160.0,1.0
550,2050,575,2075,0.35270947217941284,-8.461084682494402,2.3390351561829448,2160.0,1.0
550,2100,575,2125,0.3427764028310776,-8.224289398640394,1.9672103226184845,3360.0,1.0
550,2150,575,2175,0.35308337211608887,-2.8758153785020113,1.7578972037881613,2933.93933134276,1.0
550,2200,575,2225,0.3272629678249359,9.851776994764805,1.6184793785214424,1896.9449122207002,1.0
550,2250,575,2275,0.32700295746326447,12.570552993565798,1.5507375937886536,1400.0,1.0
550,2300,575,2325,0.2909362018108368,14.183121267706156,1.4255561982281506,1592.9846201391902,1.0
550,2350,575,2375,0.3238139748573303,11.417456436902285,1.3211474288254976,3094.7697814215517,1.0
550,2400,575,2425,0.30245788395404816,7.2980590630322695,1.253851572982967,4961.612641067419,1.0
550,2450,575,2475,0.3015313744544983,17.385625280439854,1.590085739735514,5234.500931320961,1.0
550,2500,575,2525,0.2842675894498825,33.281220123171806,1.879080489743501,4912.0260585628,1.0
550,2550,575,2575,0.23150023818016052,38.470687344670296,2.206147531978786,4052.653451752321,1.0
550,2600,575,2625,0.24348698556423187,50.176408141851425,2.3395934840664268,2874.7173774129524,1.0
550,2650,575,2675,0.24906326830387115,42.236022651195526,3.1533369328826666,1584.929020492716,1.0
600,700,625,725,0.3984910845756531,-48.97003248333931,5.502721294760704,600.0,1.0
600,850,625,875,0.49394315481185913,-46.38522490859032,4.955286625772715,400.0,1.0
600,900,625,925,0.3743761330842972,-39.25637900829315,5.929561564698815,754.7184905645282,1.0
600,950,625,975,0.32060225307941437,-37.10400126874447,6.1714546754956245,120.0,1.0
600,1150,625,1175,0.2730199545621872,-45.88335193693638,5.221984116360545,0.0,1.0
600,1250,625,1275,0.2844007611274719,-51.72029323875904,4.986779298633337,720.0,1.0
600,1400,625,1425,0.23782695084810257,-45.24754546582699,4.792090272530913,120.0,1.0
600,1450,625,1475,0.24557311832904816,-33.41352939605713,4.63069835677743,0.0,1.0
600,1500,625,1525,0.2890494465827942,-36.77928075194359,4.274608800187707,880.0,1.0
600,1600,625,1625,0.29108840227127075,-35.70101037621498,4.043099004775286,120.0,1.0
600,1650,625,1675,0.2695450186729431,-41.357455775141716,3.4269217867404222,2120.0,1.0
600,1700,625,1725,0.24110842496156693,-42.00880043208599,3.4526075469329953,2280.0,1.0
600,1750,625,1775,0.23264364898204803,-48.2356883585453,3.1241208780556917,1680.0,1.0
600,1900,625,1925,0.34689725935459137,-18.369524739682674,2.7068450581282377,1969.771560359221,1.0
600,1950,625,1975,0.6268250644207001,-21.387959830462933,2.21226061694324,1920.0,1.0
