station_key,state,site_name,latitude,longitude,well_type,n_seasons,dist_km_H001,dist_km_H004,dist_km_H002,dist_km_H003,min_dist_km_to_any,within_2km,within_5km,within_10km,within_20km
Central     KOTWALI                              Chandini Ch|28.65555|77.23583,Delhi,Central     KOTWALI                              Chandini Ch,28.65555,77.23583,unspecified,1,21.23261329137469,22.250923509526455,23.78339807742018,22.312180223039864,21.23261329137469,False,False,False,False
Central     Kotwali        Chandini Chowk        Chandini Ch|28.65555|77.23583,Delhi,Central     Kotwali        Chandini Chowk        Chandini Ch,28.65555,77.23583,Dug Well,1,21.23261329137469,22.250923509526455,23.78339807742018,22.312180223039864,21.23261329137469,False,False,False,False
Central     Kotwali        Chandini Chowk      Chandini Chow|28.65555|77.23583,Delhi,Central     Kotwali        Chandini Chowk      Chandini Chow,28.65555,77.23583,Dug Well,1,21.23261329137469,22.250923509526455,23.78339807742018,22.312180223039864,21.23261329137469,False,False,False,False
Central     ROHINI                                Mangolpur|28.63277|77.19583,Delhi,Central     ROHINI                                Mangolpur ,28.63277,77.19583,Bore Well,1,16.70284554166281,17.616920156825973,23.53266576202852,22.021687948012076,16.70284554166281,False,False,False,True
East        MAYUR VIHAR    Chilla Regulator       Chilla Reg|28.58722|77.30138,Delhi,East        MAYUR VIHAR    Chilla Regulator       Chilla Reg,28.58722,77.30138,unspecified,1,22.714196652407516,24.760332042576348,33.713843101932866,32.23906897437696,22.714196652407516,False,False,False,False
East        MAYUR VIHAR    Chilla Saroda          Chilla Sar|28.60027|77.29861,Delhi,East        MAYUR VIHAR    Chilla Saroda          Chilla Sar,28.60027,77.29861,Bore Well,1,22.972421487085185,24.89147000821178,32.45244600556645,30.986024487857595,22.972421487085185,False,False,False,False
East        MAYUR VIHAR    Mayur Vihar B Block Ph Mayur Viha|28.61638|77.30444,Delhi,East        MAYUR VIHAR    Mayur Vihar B Block Ph Mayur Viha,28.61638,77.30444,unspecified,1,24.22520672816328,26.01447380206014,31.558794854742953,30.11389540114622,24.22520672816328,False,False,False,False
East        Mayur Vihar    Chilla Regulator      Chilla Regu|28.58722|77.30138,Delhi,East        Mayur Vihar    Chilla Regulator      Chilla Regu,28.58722,77.30138,unspecified,1,22.714196652407516,24.760332042576348,33.713843101932866,32.23906897437696,22.714196652407516,False,False,False,False
East        Mayur Vihar    Chilla Regulator    Chilla Regula|28.58722|77.30138,Delhi,East        Mayur Vihar    Chilla Regulator    Chilla Regula,28.58722,77.30138,unspecified,1,22.714196652407516,24.760332042576348,33.713843101932866,32.23906897437696,22.714196652407516,False,False,False,False
East        Mayur Vihar    Chilla Saroda         Chilla Saro|28.60027|77.29861,Delhi,East        Mayur Vihar    Chilla Saroda         Chilla Saro,28.60027,77.29861,Bore Well,1,22.972421487085185,24.89147000821178,32.45244600556645,30.986024487857595,22.972421487085185,False,False,False,False
East        Mayur Vihar    Chilla Saroda       Chilla Saroda|28.60027|77.29861,Delhi,East        Mayur Vihar    Chilla Saroda       Chilla Saroda,28.60027,77.29861,Bore Well,1,22.972421487085185,24.89147000821178,32.45244600556645,30.986024487857595,22.972421487085185,False,False,False,False
East        Mayur Vihar    Kondli                 Kondli DJB|28.61055|77.32166,Delhi,East        Mayur Vihar    Kondli                 Kondli DJB,28.61055,77.32166,unspecified,1,25.489347598024047,27.383342307016903,33.21946407673614,31.7845345369335,25.489347598024047,False,False,False,False
East        Mayur Vihar    Kondli                Kondli DJB|28.61055|77.32166,Delhi,East        Mayur Vihar    Kondli                Kondli DJB ,28.61055,77.32166,unspecified,1,25.489347598024047,27.383342307016903,33.21946407673614,31.7845345369335,25.489347598024047,False,False,False,False
East        Mayur Vihar    Kondli              Kondli DJB WT|28.61055|77.32166,Delhi,East        Mayur Vihar    Kondli              Kondli DJB WT,28.61055,77.32166,unspecified,1,25.489347598024047,27.383342307016903,33.21946407673614,31.7845345369335,25.489347598024047,False,False,False,False
East        Mayur Vihar    Mayur Vihar B Block   Mayur Vihar|28.61638|77.30444,Delhi,East        Mayur Vihar    Mayur Vihar B Block   Mayur Vihar,28.61638,77.30444,unspecified,1,24.22520672816328,26.01447380206014,31.558794854742953,30.11389540114622,24.22520672816328,False,False,False,False
East        Mayur Vihar    Mayur Vihar B Block Mayur Vihar B|28.61638|77.30444,Delhi,East        Mayur Vihar    Mayur Vihar B Block Mayur Vihar B,28.61638,77.30444,unspecified,1,24.22520672816328,26.01447380206014,31.558794854742953,30.11389540114622,24.22520672816328,False,False,False,False
East        PREET VIHAR    Bank Enclave           Bank Encla|28.64083|77.2875,Delhi,East        PREET VIHAR    Bank Enclave           Bank Encla,28.64083,77.2875,Bore Well,1,24.13180729908929,25.622954464646607,28.48433803054346,27.052859728123604,24.13180729908929,False,False,False,False
East        PREET VIHAR    Gazipur                Gazi Pur C|28.62805|77.31805,Delhi,East        PREET VIHAR    Gazipur                Gazi Pur C,28.62805,77.31805,unspecified,1,25.99315537015846,27.726278595362224,31.650361212830823,30.23471221187991,25.99315537015846,False,False,False,False
East        PREET VIHAR    Gujarat Vihar          Gujarat Vi|28.64222|77.29166,Delhi,East        PREET VIHAR    Gujarat Vihar          Gujarat Vi,28.64222,77.29166,Bore Well,1,24.555992340875047,26.05424152722621,28.67882218112377,27.254221409722156,24.555992340875047,False,False,False,False
East        Preet Vihar    Bank Enclave          Bank Enclav|28.64083|77.2875,Delhi,East        Preet Vihar    Bank Enclave          Bank Enclav,28.64083,77.2875,Bore Well,1,24.13180729908929,25.622954464646607,28.48433803054346,27.052859728123604,24.13180729908929,False,False,False,False
East        Preet Vihar    Bank Enclave        Bank Enclave|28.64083|77.2875,Delhi,East        Preet Vihar    Bank Enclave        Bank Enclave ,28.64083,77.2875,Bore Well,1,24.13180729908929,25.622954464646607,28.48433803054346,27.052859728123604,24.13180729908929,False,False,False,False
East        Preet Vihar    Gazipur               Gazi Pur Cr|28.62805|77.31805,Delhi,East        Preet Vihar    Gazipur               Gazi Pur Cr,28.62805,77.31805,unspecified,1,25.99315537015846,27.726278595362224,31.650361212830823,30.23471221187991,25.99315537015846,False,False,False,False
East        Preet Vihar    Gazipur             Gazi Pur Cros|28.62805|77.31805,Delhi,East        Preet Vihar    Gazipur             Gazi Pur Cros,28.62805,77.31805,unspecified,1,25.99315537015846,27.726278595362224,31.650361212830823,30.23471221187991,25.99315537015846,False,False,False,False
East        Preet Vihar    Gujarat Vihar         Gujarat Vih|28.64222|77.29166,Delhi,East        Preet Vihar    Gujarat Vihar         Gujarat Vih,28.64222,77.29166,Bore Well,1,24.555992340875047,26.05424152722621,28.67882218112377,27.254221409722156,24.555992340875047,False,False,False,False
