producer,station_id,station_name,agency,district,latitude,longitude,record_start,record_end,observation_count,observations_in_study_period,median_sampling_hours,min_interval_hours,max_routine_interval_hours,largest_gap_hours,study_period_coverage_pct,observed_expected_ratio,months_represented,dist_H001_km,dist_H004_km,dist_H002_km,dist_H003_km,min_dist_km
delhi_sw_gw,delhi_sw_gw:Holambi Kalan-2,Holambi Kalan-2,Delhi SW GW,NORTH,28.796751,77.17526,2023-03-08 11:09:00,2023-10-28 17:13:00,421,421,6.0,0.017,6.0,2153.2,44.93,0.4493,6,31.982,31.542,10.125,9.214,9.214
delhi_sw_gw,delhi_sw_gw:ITO V-7 Rainywell,ITO V-7 Rainywell,Delhi SW GW,EAST,28.627363,77.260293,2023-03-06 12:54:00,2023-07-10 18:00:00,267,267,6.0,0.017,6.0,1468.45,52.89,0.5289,4,21.092,22.576,27.713,26.238,21.092
delhi_sw_gw,delhi_sw_gw:Jaffarpur Kalan-1,Jaffarpur Kalan-1,Delhi SW GW,SOUTH WEST,28.59306,76.919752,2022-11-04 16:27:00,2025-07-14 00:00:00,2013,2013,6.0,0.017,30.0,8353.567,51.23,0.5123,22,17.686,14.821,28.896,28.176,14.821
delhi_sw_gw,delhi_sw_gw:Jaffarpur Kalan-2,Jaffarpur Kalan-2,Delhi SW GW,SOUTH WEST,28.587139,76.924383,2022-11-04 18:05:00,2025-07-14 06:00:00,3047,3047,6.0,0.05,18.0,2399.583,77.53,0.7753,30,16.99,14.127,29.234,28.48,14.127
delhi_sw_gw,delhi_sw_gw:Janak Puri BPS,Janak Puri BPS,Delhi SW GW,SOUTH WEST,28.626821,77.094117,2023-03-06 10:35:00,2024-02-11 20:30:00,20,20,5.65,0.017,4488.545,5120.483,1.38,0.0138,4,11.811,11.065,21.043,19.665,11.065
delhi_sw_gw,delhi_sw_gw:Janakpuri C-2 BPS,Janakpuri C-2 BPS,Delhi SW GW,SOUTH WEST,28.623384,77.085892,2023-11-24 12:00:00,2024-05-26 06:00:00,732,732,6.0,6.0,6.0,30.0,99.59,0.9959,7,11.371,10.45,21.363,20.011,10.45
delhi_sw_gw,delhi_sw_gw:Jat khor,Jat khor,Delhi SW GW,NORTH WEST,28.783938,76.975912,2023-03-08 10:42:00,2023-05-22 12:00:00,250,250,6.0,0.017,6.0,338.183,83.27,0.8327,3,30.972,28.929,10.125,10.464,10.125
delhi_sw_gw,delhi_sw_gw:Jaunti_1,Jaunti_1,Delhi SW GW,NORTH WEST,28.751257,76.962865,2024-06-01 06:15:00,2025-05-23 18:00:00,1004,1004,6.0,0.017,30.0,1878.0,70.41,0.7041,10,28.071,25.863,12.915,12.886,12.886
delhi_sw_gw,delhi_sw_gw:Kair Viilage,Kair Viilage,Delhi SW GW,SOUTH WEST,28.623046,76.921139,2023-02-16 20:42:00,2025-01-26 12:00:00,1985,1985,6.0,0.017,6.0,2262.0,69.93,0.6993,21,19.31,16.476,26.025,25.393,16.476
delhi_sw_gw,delhi_sw_gw:Kanjawala Village-2,Kanjawala Village-2,Delhi SW GW,NORTH WEST,28.74029,77.005833,2023-03-06 15:35:00,2023-06-29 06:13:00,350,350,6.0,0.017,18.24,378.183,76.35,0.7635,4,25.451,23.519,10.624,10.137,10.137
delhi_sw_gw,delhi_sw_gw:Karala Village,Karala Village,Delhi SW GW,NORTH WEST,28.738172,77.036871,2023-03-06 15:12:00,2024-06-12 00:00:00,1653,1653,6.0,0.017,6.0,390.0,89.18,0.8918,16,24.513,22.852,9.279,8.423,8.423
delhi_sw_gw,delhi_sw_gw:Keshopur (Hastal),Keshopur (Hastal),Delhi SW GW,WEST,28.654241,77.086034,2023-03-06 15:08:00,2025-02-22 18:00:00,2396,2396,6.0,0.017,6.0,1950.0,83.3,0.833,22,14.801,13.777,17.94,16.582,13.777
delhi_sw_gw,delhi_sw_gw:Khayala Jal Board,Khayala Jal Board,Delhi SW GW,WEST,28.655815,77.107821,2023-10-26 00:00:00,2025-07-14 18:00:00,1996,1996,6.0,6.0,30.0,1614.0,79.49,0.7949,20,15.191,14.553,18.036,16.607,14.553
delhi_sw_gw,delhi_sw_gw:Khera Kalan_1,Khera Kalan_1,Delhi SW GW,NORTH,28.770901,77.111818,2023-12-08 06:00:00,2025-07-15 00:00:00,1896,1896,6.0,6.0,24.0,1902.0,81.06,0.8106,19,27.925,26.988,6.181,4.69,4.69
delhi_sw_gw,delhi_sw_gw:Madanpur Dabas-2,Madanpur Dabas-2,Delhi SW GW,NORTH WEST,28.713549,77.024083,2023-03-08 10:40:00,2024-08-01 12:00:00,1056,1056,6.0,0.017,8.859,4946.55,51.56,0.5156,12,22.105,20.275,12.287,11.418,11.418
delhi_sw_gw,delhi_sw_gw:Malikpur_2,Malikpur_2,Delhi SW GW,SOUTH WEST,28.549226,76.899343,2023-04-04 06:00:00,2025-04-17 12:00:00,2133,2133,6.0,0.017,6.0,2534.833,71.65,0.7165,22,18.046,15.346,34.107,33.35,15.346
delhi_sw_gw,delhi_sw_gw:Mayapuri Phase-2,Mayapuri Phase-2,Delhi SW GW,WEST,28.6225,77.123768,2023-03-08 10:46:00,2025-07-14 12:00:00,2678,2678,6.0,0.017,30.0,1908.0,77.93,0.7793,27,12.003,11.956,21.981,20.532,11.956
delhi_sw_gw,delhi_sw_gw:Mitroan Village,Mitroan Village,Delhi SW GW,SOUTH WEST,28.606988,76.949855,2023-04-05 00:00:00,2024-06-17 12:00:00,1550,1550,6.0,0.017,6.0,1230.0,88.17,0.8817,14,15.993,13.167,26.104,25.3,13.167
delhi_sw_gw,delhi_sw_gw:Mungeshpur_1,Mungeshpur_1,Delhi SW GW,NORTH WEST,28.815643,76.973015,2023-03-06 15:57:00,2025-03-10 12:00:00,2496,2496,6.0,0.017,12.0,1320.0,84.92,0.8492,24,34.403,32.408,9.79,10.61,9.79
delhi_sw_gw,delhi_sw_gw:Nangal Thakuran Village 1,Nangal Thakuran Village 1,Delhi SW GW,NORTH,28.798778,77.009323,2023-03-06 11:39:00,2024-02-26 06:00:00,1352,1352,6.0,0.017,6.0,336.117,94.74,0.9474,12,31.654,29.86,6.514,7.002,6.514
delhi_sw_gw,delhi_sw_gw:Nangal Thakuran Village-2,Nangal Thakuran Village-2,Delhi SW GW,NORTH,28.806685,77.008927,2023-03-06 16:10:00,2025-05-22 18:00:00,2387,2387,6.0,0.017,6.0,4374.0,73.85,0.7385,22,32.52,30.735,6.362,7.033,6.362
delhi_sw_gw,delhi_sw_gw:Naya Bans,Naya Bans,Delhi SW GW,NORTH WEST,28.783548,77.096035,2023-10-26 00:00:00,2025-07-14 12:00:00,1870,1870,6.0,6.0,24.0,3198.0,74.5,0.745,18,29.207,28.107,4.148,2.64,2.64
delhi_sw_gw,delhi_sw_gw:Neelwal,Neelwal,Delhi SW GW,WEST,28.667911,76.976996,2023-06-01 12:00:00,2023-09-03 06:00:00,377,377,6.0,0.017,6.0,12.0,100.53,1.0053,4,19.231,16.812,18.888,18.151,16.812
delhi_sw_gw,delhi_sw_gw:New Delhi Bakkarwala Bakkarwala,New Delhi Bakkarwala Bakkarwala,Delhi SW GW,NEW DELHI,28.667358,77.012916,2022-08-30 18:00:00,2024-08-01 00:00:00,2733,2733,6.0,6.0,12.0,54.0,97.43,0.9743,25,17.57,15.473,17.468,16.509,15.473
delhi_sw_gw,delhi_sw_gw:New Delhi Daurala Daurala,New Delhi Daurala Daurala,Delhi SW GW,NEW DELHI,28.510715,76.894526,2022-08-22 18:00:00,2025-10-14 12:00:00,2709,2702,6.0,0.017,17.58,5388.0,58.8,0.5896,29,18.286,15.917,38.095,37.276,15.917
delhi_sw_gw,delhi_sw_gw:New Delhi DSIIDC DSIIDC,New Delhi DSIIDC DSIIDC,Delhi SW GW,NEW DELHI,28.810556,77.081947,2022-08-18 18:00:00,2025-02-19 12:00:00,3191,3191,6.0,2.583,18.0,1890.0,87.11,0.8711,30,32.175,30.938,0.972,0.812,0.812
delhi_sw_gw,delhi_sw_gw:New Delhi Hiranki Hiranki 11500,New Delhi Hiranki Hiranki 11500,Delhi SW GW,NEW DELHI,28.799725,77.863054,2023-03-30 18:00:00,2024-06-27 12:00:00,1449,1449,6.0,0.017,6.0,2247.617,79.66,0.7966,14,82.324,84.184,76.949,76.204,76.204
delhi_sw_gw,delhi_sw_gw:New Delhi Hiranki Hiranki 12500,New Delhi Hiranki Hiranki 12500,Delhi SW GW,NEW DELHI,28.775829,77.204692,2023-03-30 18:00:00,2025-09-03 00:00:00,2152,2152,6.0,6.0,30.0,4350.0,60.64,0.6064,24,30.767,30.651,13.513,12.435,12.435
delhi_sw_gw,delhi_sw_gw:New Delhi Hiranki Hiranki 13500,New Delhi Hiranki Hiranki 13500,Delhi SW GW,NEW DELHI,28.874166,77.70472,2023-04-14 18:00:00,2023-07-06 12:00:00,330,330,6.0,6.0,6.0,12.0,99.7,0.997,4,72.372,73.805,61.829,61.262,61.262
delhi_sw_gw,delhi_sw_gw:New Delhi Hiranki Hiranki 14500,New Delhi Hiranki Hiranki 14500,Delhi SW GW,NEW DELHI,28.478332,77.448893,2023-03-30 18:00:00,2024-01-27 12:00:00,1208,1208,6.0,0.1,6.0,18.0,99.75,0.9975,11,36.236,38.933,52.393,50.938,36.236
