producer,station,lat,lon,n_obs,first,last,exact_zero_fraction,constant_fraction,coverage_fraction,longest_gap_days,n_days,qc_class
cgwb_delhi,Burari OJB Ex. Eng Office,28.7332,77.1974,2550,2023-09-01 00:00:00,2025-12-11 06:00:00,0.0,0.0455,0.8187,45.85,682,PASS_WITH_GAPS
cgwb_delhi,Coronation Pillar,28.7245,77.1925,2845,2023-08-31 00:00:00,2025-11-14 00:00:00,0.0,0.0612,0.891,12.21,719,PASS
cgwb_delhi,Daryapur Khurd_1,28.5342,76.9086,2614,2023-09-01 00:00:00,2025-12-11 00:00:00,0.0,0.0402,0.8595,44.75,716,PASS_WITH_GAPS
cgwb_delhi,Delhi Central CIVIL LINES Burari AugurPz,28.780696,77.201492,2066,2023-04-26 18:00:00,2025-08-01 00:00:00,0.0005,0.0813,0.6365,262.62,527,PASS_WITH_GAPS
cgwb_delhi,Delhi Central CIVIL LINES Jagatpur Pz 1,28.739897,77.2226,2626,2023-05-16 18:00:00,2025-09-02 00:00:00,0.0,0.0114,0.7988,131.5,671,PASS_WITH_GAPS
cgwb_delhi,Delhi East MAYUR VIHAR Chilla Regulator,28.587153,77.301025,3181,2023-05-16 18:00:00,2025-08-25 18:00:00,0.0,0.0088,0.9832,4.25,819,PASS
cgwb_delhi,Delhi_East_Mayur Vihar_Chilla Saroda Pz,28.616787,77.304421,3301,2023-05-16 18:00:00,2025-09-22 00:00:00,0.0,0.0112,0.9837,4.0,846,PASS
cgwb_delhi,Delhi East Mayur vihar Kondli DJB WTP,28.610828,77.322998,3184,2023-05-16 06:00:00,2025-09-06 00:00:00,0.0,0.0025,0.9763,4.0,824,PASS
cgwb_delhi,Delhi East PREET VIHAR Bank Enclave Pz,28.641098,77.271159,2956,2023-05-16 18:00:00,2025-07-02 00:00:00,0.0,0.0616,0.9833,9.25,765,PASS
cgwb_delhi,Delhi East PREET VIHAR Gujarat Vihar Pz,28.642264,77.2918,3280,2023-05-16 18:00:00,2025-09-22 00:00:00,0.0,0.0113,0.9791,4.0,842,PASS
cgwb_delhi,Delhi NAZUL LAND NAZUL LAND Shastri Park (Pz),28.675825,77.262026,2196,2023-05-16 18:00:00,2024-11-29 12:00:00,0.0,0.0141,0.9947,3.25,560,PASS
cgwb_delhi,Delhi New Delhi CHANAKYAPURI India Gate Pz,28.6125,77.225,3339,2023-04-28 18:00:00,2025-09-22 00:00:00,0.0,0.0183,0.9784,4.25,859,PASS
cgwb_delhi,Delhi New Delhi CHANAKYAPURI Mahabir Vansth.,28.605006,77.176548,2275,2023-05-01 06:00:00,2025-04-29 06:00:00,0.0,0.0088,0.7849,76.69,573,PASS_WITH_GAPS
cgwb_delhi,Delhi New Delhi DELHI CANTONMENT Cvd Depot Cantt (D),28.603516,77.111253,3275,2023-05-16 18:00:00,2025-09-22 12:00:00,0.0,0.0278,0.9744,6.75,838,PASS
cgwb_delhi,Delhi New Delhi VASANT VIHAR J N U Pz,28.537572,77.157268,3216,2023-05-16 18:00:00,2025-09-22 12:00:00,0.0,0.0127,0.9628,17.41,828,PASS
cgwb_delhi,Delhi New Delhi VASANT VIHAR Sultanpur IMS Pz,28.4894,77.1458,3232,2023-05-16 18:00:00,2025-09-22 00:00:00,0.0,0.0102,0.9663,7.25,831,PASS
cgwb_delhi,Delhi North ALIPUR Alipur Garhi Pz,28.7981,77.1244,3173,2023-05-16 06:00:00,2025-09-21 00:00:00,0.0,0.0025,0.9464,25.75,813,PASS
cgwb_delhi,Delhi North ALIPUR Haiderpur Pz,28.7289,77.1469,3081,2023-05-16 06:00:00,2025-07-21 00:00:00,0.0,0.0,0.9912,3.25,790,PASS
cgwb_delhi,Delhi North ALIPUR Hiranki Village Pz,28.8014,77.1808,3247,2023-05-16 06:00:00,2025-09-22 00:00:00,0.0,0.0055,0.9721,8.0,836,PASS
cgwb_delhi,Delhi North ALIPUR Palla Zero RD,28.8581,77.1964,2159,2023-04-27 18:00:00,2025-08-21 12:00:00,0.0,0.0195,0.6576,194.43,557,PASS_WITH_GAPS
cgwb_delhi,Delhi North ALIPUR Rohini Sector 28,28.7528,77.095,2785,2023-05-16 18:00:00,2025-06-25 14:08:00,0.0,0.0144,0.9222,27.5,711,PASS
cgwb_delhi,Delhi North ALIPUR Singhu Village Pz,28.8533,77.1311,2846,2023-05-16 18:00:00,2025-05-27 00:00:00,0.0,0.0,0.9852,7.5,731,PASS
cgwb_delhi,Delhi North East SEELAM PUR Ushmanpur Pz,28.684922,77.249118,3225,2023-05-16 18:00:00,2025-09-02 00:00:00,0.0,0.036,0.9798,7.75,823,PASS
cgwb_delhi,Delhi_North East_Yamuna Vihar_Gokulpuri E Pz,28.6708,77.3131,2290,2022-12-19 12:00:00,2024-07-23 06:00:00,0.0,0.0105,0.9828,6.25,572,PASS
cgwb_delhi,Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,28.6281,77.3181,2746,2023-05-16 18:00:00,2025-04-27 00:00:00,0.0,0.3583,0.993,4.25,707,PASS
cgwb_delhi,Delhi North NARELA Auchandi Pz,28.8194,76.9972,2712,2023-05-16 18:00:00,2025-06-25 18:00:00,0.0,0.0229,0.8977,56.5,693,PASS_WITH_GAPS
cgwb_delhi,Delhi North NARELA Bankner Pz,28.8514,77.0736,3220,2023-04-27 18:00:00,2025-08-28 12:00:00,0.0,0.0031,0.966,7.5,825,PASS
cgwb_delhi,Delhi North NARELA Barwala Pz,28.7583,77.0625,2645,2023-05-16 18:00:00,2025-06-25 18:00:00,0.0,0.0166,0.864,102.5,667,PASS_WITH_GAPS
cgwb_delhi,Delhi North West ROHINI Mangolpuri Pz,28.6903,77.0792,3218,2023-05-16 18:00:00,2025-09-22 12:00:00,0.0,0.0479,0.9616,8.5,827,PASS
cgwb_delhi,Delhi North West ROHINI Rithala Pz Sec5 Rohini,28.715,77.1017,3223,2023-05-16 18:00:00,2025-09-22 00:00:00,0.0,0.0031,0.9756,4.25,839,PASS
cgwb_delhi,Delhi North West ROHINI Rohini Sec 11 Pz,28.7322,77.1044,2787,2023-05-16 06:00:00,2025-05-02 00:00:00,0.0,0.0133,0.9958,3.25,714,PASS
cgwb_delhi,Delhi North West SARASWATI VIHAR Qutabgarh Pz,28.8056,76.9647,2768,2023-05-16 06:00:00,2025-09-22 00:00:00,0.0,0.0195,0.8256,37.0,710,PASS_WITH_GAPS
cgwb_delhi,Delhi North West SARASWATI VIHAR Sainik Vihar(Pz),28.6911,77.1219,2910,2023-05-16 06:00:00,2025-09-22 06:00:00,0.0003,0.0041,0.863,101.75,743,PASS_WITH_GAPS
cgwb_delhi,Delhi_Shahdara_Shahdara_CBD Shahdara,28.6847,77.1994,3266,2023-05-16 18:00:00,2025-09-22 00:00:00,0.0,0.0067,0.9756,7.5,839,PASS
cgwb_delhi,Delhi South East DEFENCE COLONY Nangli Rajapur Pz,28.5944,77.2733,3677,2022-11-21 12:56:00,2025-08-06 00:00:00,0.0003,0.0155,0.9535,9.75,943,PASS
cgwb_delhi,Delhi South East KALKAJI Asola Pz,28.4125,77.2667,3233,2022-12-15 10:59:00,2025-03-21 12:00:00,0.0,0.0068,0.9879,8.75,818,PASS
cgwb_delhi,Delhi_South East_Kalkaji_Okhla DJB WTP,28.8347,77.0225,2383,2023-05-16 06:00:00,2025-08-25 00:00:00,0.0,0.0042,0.726,216.0,604,PASS_WITH_GAPS
cgwb_delhi,Delhi South HAUZ KHAS Hauz Khas Pz,28.547245,77.204833,2504,2023-04-28 18:00:00,2025-06-25 00:00:00,0.0,0.0084,0.815,123.25,643,PASS_WITH_GAPS
cgwb_delhi,Delhi South HAUZ KHAS Pusp Vihar Pz,28.527124,77.223113,3133,2023-05-16 18:00:00,2025-09-20 00:00:00,0.0,0.0051,0.9371,14.5,804,PASS
cgwb_delhi,Delhi South MEHRAULI Gadaipur Pz,28.4769,77.1561,2637,2023-05-16 13:48:00,2025-08-17 00:00:00,0.0,0.008,0.8544,29.0,704,PASS
cgwb_delhi,Delhi_South_Mehrauli_Jaunapur DJB TW,28.5783,77.1078,3225,2023-04-28 18:00:00,2025-08-21 00:00:00,0.0,0.014,0.9775,5.0,827,PASS
cgwb_delhi,Delhi South SAKET Bhatti Pz,28.4278,77.2083,2536,2023-05-15 18:00:00,2025-04-25 11:48:00,0.0,0.013,0.9015,61.0,641,PASS_WITH_GAPS
cgwb_delhi,Delhi South West DWARKA Dwarka S-16 (TP),28.581332,77.024241,3771,2022-11-24 14:38:00,2025-07-28 00:00:00,0.0,0.0133,0.9898,3.75,967,PASS
