producer,station,n,min_value,max_value,n_negative,n_exact_zero,frac_constant_on_runs,duplicate_timestamps,abrupt_jump_gt_10m
cgwb_delhi,Kabulline Pz,2695,3.68,30.322,0,0,0.045,0,2
cgwb_delhi,Keshopur DJB WTP,2141,8.913,27.991,0,0,0.055,0,4
cgwb_delhi,Kewal Park,2292,1.398,26.689,0,0,0.03,0,2
cgwb_delhi,Khera Kalan Pz_1,1950,3.66,19.927,0,0,0.037,0,0
cgwb_delhi,Lalita Park (Pz),2606,2.103,25.488,0,0,0.012,0,2
cgwb_delhi,LodhiGarden(5hallow),2696,2.707,26.069,0,0,0.03,0,2
cgwb_delhi,LodhiGarden (Deep),3014,-0.566,26.561,113,0,0.126,0,4
cgwb_delhi,Majara Dabas_1,2748,0.327,26.5,0,0,0.059,0,2
cgwb_delhi,Narela DJB WTP,2330,17.306,19.999,0,0,0.018,0,0
cgwb_delhi,Nizampur_3,2239,0.228,8.084,0,0,0.045,0,0
cgwb_delhi,Palla Temple_1,1959,5.903,24.153,0,0,0.012,0,2
cgwb_delhi,PUSA (NRL) Pz,2721,26.518,30.821,0,0,0.026,0,0
cgwb_delhi,Qatlupur_2,937,0.0,10.33,0,537,0.657,0,0
cgwb_delhi,Rohini Sector 1Pz,2666,1.231,60.417,0,0,0.065,0,5
cgwb_delhi,"Rohini, Sector-23",2432,-0.229,25.78,79,0,0.042,0,10
cgwb_delhi,Samaipur Badli,2769,8.172,9.848,0,0,0.01,0,0
cgwb_delhi,Sandesh Vihar Pz_1,2530,-5.086,26.436,4,0,0.025,0,3
cgwb_delhi,Sanjay Van Pz_1,2879,-0.014,15.931,2,0,0.017,0,1
cgwb_delhi,Shikarpur Deep Pz,2062,3.65,25.727,0,0,0.037,0,2
cgwb_delhi,Shikarpur Shallow Pz,2524,3.594,10.578,0,0,0.028,0,0
cgwb_delhi,Shram shakti bhawan 1_2,2072,0.0,20.63,0,506,0.373,0,3
cgwb_delhi,Singhola Pz_2,174,0.0,0.0,0,174,1.0,0,0
cgwb_delhi,Sonia Vihar_1,8732,3.52,51.559,0,0,0.169,0,5
cgwb_delhi,Sultanpur Dabas_1,2516,2.928,19.954,0,0,0.033,0,2
cgwb_delhi,Sunder Nursery Pz,2484,3.086,26.395,0,0,0.035,0,5
cgwb_delhi,Surheda_2,1465,0.0,14.63,0,475,0.47,0,0
cgwb_delhi,Tiggipur Deep Pz_1,2879,5.325,27.057,0,0,0.038,0,2
cgwb_delhi,Tiggipur Shallow Pz_1,2897,4.715,27.462,0,0,0.048,0,2
cgwb_delhi,Tikri Kalan Pz_1,2429,6.0,9.849,0,0,0.042,0,0
cgwb_delhi,Ujwah Pz,2727,6.497,27.085,0,0,0.024,0,2
cgwb_delhi,vivek vihar(Pz)_1,2761,0.0,26.21,0,480,0.195,0,1
