index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
67,20220627_20220721,20220627,20220721,24,37.2,1226497,1203814,0.981506,1226497,1.0,0.3784,0.2907,0.4879,10,0.559193,0.994887,0.712367,0.381407
68,20220627_20220802,20220627,20220802,36,25.5,1226497,1203859,0.981543,1226497,1.0,0.3634,0.2872,0.4755,7,0.533538,0.994523,0.694623,0.357723
69,20220709_20220721,20220709,20220721,12,-10.7,1226497,1203706,0.981418,1226497,1.0,0.4911,0.3156,0.5528,4,0.754841,0.996058,0.793167,0.492333
70,20220709_20220802,20220709,20220802,24,-22.3,1226497,1203717,0.981427,1226497,1.0,0.3975,0.2943,0.5117,8,0.586051,0.995063,0.728063,0.412471
71,20220709_20220814,20220709,20220814,36,-71.5,1226497,1203753,0.981456,1226497,1.0,0.3665,0.2876,0.4868,9,0.504763,0.994443,0.696886,0.372119
72,20220721_20220802,20220721,20220802,12,-11.6,1226497,1203709,0.98142,1226497,1.0,0.5055,0.3229,0.5581,2,0.805925,0.99623,0.808571,0.505126
73,20220721_20220814,20220721,20220814,24,-60.8,1226497,1203792,0.981488,1226497,1.0,0.3832,0.2912,0.5048,6,0.55277,0.994969,0.714653,0.398662
74,20220721_20220826,20220721,20220826,36,-105.5,1226497,1203732,0.981439,1226497,1.0,0.3624,0.2868,0.4763,7,0.530518,0.994372,0.692349,0.357345
75,20220802_20220814,20220802,20220814,12,-49.2,1226497,1203747,0.981451,1226497,1.0,0.4247,0.3017,0.521,6,0.645825,0.995528,0.756101,0.432682
76,20220802_20220826,20220802,20220826,24,-93.9,1226497,1203814,0.981506,1226497,1.0,0.3867,0.2933,0.4968,9,0.571704,0.995053,0.723513,0.392507
77,20220802_20220907,20220802,20220907,36,110.5,1226497,1203737,0.981443,1226497,1.0,0.3656,0.2881,0.4741,9,0.540884,0.994489,0.698524,0.356974
78,20220814_20220826,20220814,20220826,12,-44.7,1226497,1203720,0.981429,1226497,1.0,0.4792,0.3175,0.5434,4,0.761338,0.99623,0.798574,0.479991
