index,date12,residual_rms_rad,residual_frac_abs_gt_1rad
261,20241002_20241014,11.837,0.999968
262,20241002_20241026,19.3323,0.999957
263,20241002_20241107,17.8371,0.999883
264,20241014_20241026,7.5891,0.99908
265,20241014_20241107,12.3612,0.999983
266,20241014_20241119,8.5015,0.999124
267,20241026_20241107,4.8743,0.999354
268,20241026_20241119,1.2927,0.465394
269,20241107_20241119,2.4978,0.988702
270,20241107_20241213,7.429,0.99967
271,20241119_20241213,9.7252,0.999998
272,20241119_20241225,7.001,0.999552
273,20241213_20241225,2.917,0.99675
274,20241213_20250106,10.9067,1.0
275,20241213_20250118,7.7376,0.999643
276,20241225_20250106,8.1258,0.999998
277,20241225_20250118,10.4476,0.999989
278,20241225_20250130,5.2583,0.998231
279,20250106_20250118,12.155,0.999906
280,20250106_20250130,13.1461,1.0
281,20250106_20250211,13.8817,1.0
282,20250118_20250130,1.0049,0.277752
283,20250118_20250211,4.7151,0.998463
284,20250118_20250223,9.2701,0.999849
285,20250130_20250211,0.7679,0.081958
286,20250130_20250223,4.0104,0.996127
287,20250130_20250307,4.6155,0.993431
288,20250211_20250223,4.6561,0.999448
289,20250211_20250307,1.372,0.659922
290,20250211_20250319,1.105,0.202556
291,20250223_20250307,5.6819,0.998787
292,20250223_20250319,4.2521,0.993408
293,20250223_20250331,10.4947,0.999981
294,20250307_20250319,1.6348,0.925475
295,20250307_20250331,4.8159,0.99688
296,20250307_20250412,2.5493,0.93348
297,20250319_20250331,6.3023,0.999837
298,20250319_20250412,3.9311,0.988413
299,20250319_20250424,3.2173,0.974397
300,20250331_20250412,2.6009,0.974129
301,20250331_20250424,3.2882,0.984883
302,20250331_20250506,8.3586,0.999656
303,20250412_20250424,5.5213,0.998638
304,20250412_20250506,0.9034,0.150346
305,20250424_20250506,5.1252,0.998449
306,20250424_20250530,3.4374,0.958391
307,20250506_20250530,2.2276,0.901801
308,20250506_20250611,14.181,0.999991
309,20250530_20250611,3.6326,0.988776
310,20250530_20250623,1.7581,0.282667
311,20250530_20250705,1.7425,0.457564
312,20250611_20250623,9.2007,0.990804
313,20250611_20250705,10.7864,0.999961
314,20250611_20250717,10.2151,0.999688
315,20250623_20250705,5.2455,0.976949
316,20250623_20250717,2.5562,0.357358
317,20250623_20250729,4.1041,0.929353
318,20250705_20250717,1.73,0.587677
319,20250705_20250729,3.4487,0.935144
320,20250705_20250810,10.2498,0.999445
321,20250717_20250729,9.1333,0.999636
322,20250717_20250810,3.2374,0.937594
323,20250717_20250822,5.206,0.976235
324,20250729_20250810,1.3719,0.260009
325,20250729_20250822,4.1356,0.961029
326,20250729_20250903,15.1596,0.999985
327,20250810_20250822,2.6278,0.91708
328,20250810_20250903,3.0034,0.911906
329,20250810_20250915,2.3368,0.815759
330,20250822_20250903,11.2143,0.999716
331,20250822_20250915,4.1187,0.965675
332,20250822_20250927,2.0441,0.650794
333,20250903_20250915,1.9496,0.680502
334,20250903_20250927,3.9978,0.961696
335,20250915_20250927,2.9614,0.955427
