hotspot_id,date,los_displacement_mm,los_interquartile_halfwidth_mm
H003,20250729,-58.774,6.338
H003,20250810,-67.451,6.107
H003,20250822,-52.508,5.7
H003,20250903,-75.005,6.13
H003,20250915,-65.095,5.785
H003,20250927,-46.784,6.329
H004,20211006,0.0,-0.0
H004,20211018,5.58,1.161
H004,20211030,-2.337,1.197
H004,20211111,10.635,1.264
H004,20211123,-0.141,1.375
H004,20211205,-5.941,1.47
H004,20211217,-5.746,1.462
H004,20211229,-10.127,1.662
H004,20220110,-4.522,1.779
H004,20220122,-4.186,1.922
H004,20220203,-2.267,1.925
H004,20220215,-13.808,2.065
H004,20220227,-5.865,2.077
H004,20220311,-5.931,1.891
H004,20220323,-34.094,2.338
H004,20220404,-10.609,2.195
H004,20220416,15.805,2.223
H004,20220428,-2.68,2.479
H004,20220510,-5.592,2.035
H004,20220522,2.886,2.434
H004,20220603,-12.855,2.589
H004,20220615,-4.495,2.286
H004,20220627,-6.218,3.44
H004,20220709,-1.178,2.716
H004,20220721,-15.379,3.321
H004,20220802,-14.667,2.867
H004,20220814,-5.669,3.131
H004,20220826,-4.489,3.308
H004,20220907,-34.559,3.812
H004,20220919,-8.634,3.323
H004,20221001,4.433,3.545
H004,20221013,-5.331,3.651
H004,20221025,-7.748,3.588
H004,20221106,-6.337,3.608
H004,20221118,-11.228,3.567
H004,20221130,-13.151,3.775
H004,20221212,-15.642,3.887
H004,20221224,-14.046,4.026
H004,20230105,-17.771,4.116
H004,20230117,-14.211,4.276
H004,20230129,1.807,4.399
H004,20230210,-15.279,4.326
H004,20230222,-20.382,4.364
H004,20230306,-11.124,4.181
H004,20230318,-22.966,4.715
H004,20230330,3.769,4.67
H004,20230411,-36.014,4.53
H004,20230423,-17.008,4.743
H004,20230505,-25.475,4.407
H004,20230517,-2.759,4.468
H004,20230529,-20.153,4.693
H004,20230610,-16.26,4.927
H004,20230622,-27.823,4.813
H004,20230704,-12.931,5.192
H004,20230716,-15.175,5.394
H004,20230728,-34.942,5.089
H004,20230809,-9.83,5.279
